Date,SANDP,FORD,GE,MICROSOFT,ORACLE,USTB3M,ret_sp500,ret_ford,ret_ge,ret_microsoft,ret_oracle,ustb3m,retexc_sp500,retexc_ford,retexc_ge,retexc_microsoft,retexc_oracle
2006-12-01T00:00:00Z,1418.030029,7.51,37.209999,29.860001,17.139999,4.97,1.2346465924179206,-7.932545778367572,5.3261312690116025,1.6886587794402441,-10.565219425269534,0.4141666666666666,0.8204799257512541,-8.346712445034239,4.911964602344936,1.2744921127735775,-10.9793860919362
2007-01-01T00:00:00Z,1437.900024,8.13,36.049999,30.860001,17.16,5.11,1.3915127646987102,7.932545778367572,-3.167067949232827,3.294105373875933,0.11662392332416616,0.42583333333333334,0.9656794313653769,7.506712445034239,-3.59290128256616,2.8682720405425997,-0.3092094100091672
2007-02-01T00:00:00Z,1406.800049,7.91,34.91,28.17,16.43,5.16,-2.1866076094054776,-2.7433141780156767,-3.2133514874761904,-9.12032974511403,-4.347216201063953,0.43,-2.6166076094054778,-3.173314178015677,-3.6433514874761905,-9.55032974511403,-4.777216201063952
2007-03-01T00:00:00Z,1420.829956,7.89,35.360001,27.870001,18.129999,5.08,0.9923520481391002,-0.253164692177954,1.2807944933040272,-1.0706704513549603,9.845903756038332,0.42333333333333334,0.5690187148057668,-0.6764980255112873,0.8574611599706938,-1.4940037846882936,9.422570422704998
2007-04-01T00:00:00Z,1482.369995,8.04,36.860001,29.940001,18.799999,5.01,4.240097802857434,1.8832948333091792,4.154571332137147,7.164453501688373,3.6288847034852356,0.4175,3.8225978028574343,1.4657948333091793,3.737071332137147,6.746953501688372,3.2113847034852356
2007-05-01T00:00:00Z,1530.619995,8.34,37.580002,30.690001,19.379999,4.87,3.2030723854387766,3.6634133179780815,1.9345067833759,2.4741488823932567,3.038473821861931,0.4058333333333333,2.7972390521054433,3.257579984644748,1.5286734500425667,2.0683155490599234,2.632640488528598
2007-06-01T00:00:00Z,1504.660034,9.42,38.279999,29.469999,19.709999,4.74,-1.71058971591469,12.17718722176162,1.8455493256335664,-4.056413839875805,1.6884515565928293,0.395,-2.10558971591469,11.782187221761621,1.4505493256335664,-4.451413839875805,1.2934515565928293
2007-07-01T00:00:00Z,1455.180054,8.51,38.759998,28.99,19.120001,4.96,-3.34373402328616,-10.159314600298908,1.2461194961525646,-1.6421819883225552,-3.03911105044512,0.41333333333333333,-3.757067356619493,-10.572647933632242,0.8327861628192312,-2.0555153216558883,-3.4524443837784533
2007-08-01T00:00:00Z,1473.959961,7.81,38.869999,28.73,20.280001,4.32,1.2822988476675512,-8.58369787336879,0.2833983714372934,-0.9009069942365944,5.890026810813698,0.36000000000000004,0.9222988476675511,-8.943697873368789,-0.07660162856270664,-1.2609069942365945,5.530026810813697
2007-09-01T00:00:00Z,1527.290039,8.49,41.400002,29.459999,21.65,3.99,3.5542318708593257,8.348403647166114,6.305821000309653,2.5091504098953887,6.537022641585288,0.3325,3.2217318708593257,8.015903647166114,5.973321000309653,2.1766504098953887,6.204522641585289
2007-10-01T00:00:00Z,1545.790039,8.87,41.16,36.810001,22.17,4,1.2040183151209582,4.378579599823196,-0.5814018174597368,22.27361974673081,2.3734569179721277,0.3333333333333333,0.870684981787625,4.045246266489863,-0.9147351507930701,21.940286413397477,2.040123584638794
2007-11-01T00:00:00Z,1479.630005,7.51,38.290001,33.599998,20.18,3.35,-4.374307185729709,-16.643933054544434,-7.227811936016648,-9.124356711211323,-9.404800870275709,0.2791666666666667,-4.653473852396376,-16.9230997212111,-7.506978602683315,-9.40352337787799,-9.683967536942376
2007-12-01T00:00:00Z,1467.969971,6.73,37.07,35.599998,22.58,3.07,-0.7911585639005736,-10.966032211940702,-3.238077444304155,5.781957423286066,11.237254379605277,0.2558333333333333,-1.046991897233907,-11.221865545274035,-3.4939107776374883,5.526124089952733,10.981421046271944
2008-01-01T00:00:00Z,1378.599976,6.64,35.360001,32.599998,20.549999,2.82,-6.281200020058275,-1.3463180168294064,-4.722675111265584,-8.803335465524098,-9.42036664410737,0.235,-6.5162000200582755,-1.5813180168294063,-4.957675111265584,-9.0383354655240975,-9.6553666441073691
2008-02-01T00:00:00Z,1330.449951,6.53,33.139999,27.200001,18.799999,2.17,-3.5551280017823927,-1.6705020200002751,-6.484028422658383,-18.10952169563098,-8.900407563602952,0.18083333333333332,-3.735961335115726,-1.8513353533336085,-6.6648617559917165,-18.290355028964314,-9.081240896936286
2008-03-01T00:00:00Z,1326.410034,5.72,37.009998,28.379999,19.559999,1.28,-0.3041123835191506,-13.243813789663328,11.044711053521317,4.246762642915725,3.9629796837513,0.10666666666666667,-0.4107790501858173,-13.350480456329995,10.93804438685465,4.140095976249058,3.8563130170846334
2008-04-01T00:00:00Z,1385.969971,8.26,32.700001,28.52,20.85,1.31,4.392416438040225,36.745578214118034,-12.381298387436734,0.4920959050281226,6.386733476288509,0.10916666666666668,4.2832497713735584,36.63641154745137,-12.490465054103401,0.3829292383614559,6.277566809621842
2008-05-01T00:00:00Z,1399.619995,6.8,30.719999,28.32,22.84,1.76,0.9800533046148807,-19.45019753508257,-6.246123275685944,-0.7037326720576331,9.115943654299885,0.14666666666666667,0.833386637948214,-19.596864201749238,-6.392789942352611,-0.8503993387242998,8.969276987633219
2008-06-01T00:00:00Z,1276.689941,4.81,26.690001,27.51,21,1.89,-9.193002272741069,-34.62255280643913,-14.062487484373953,-2.9018693889035774,-8.399094706438648,0.1575,-9.35050227274107,-34.78005280643913,-14.219987484373954,-3.0593693889035776,-8.5565947064386485
2008-07-01T00:00:00Z,1269.420044,4.8,28.290001,25.719999,21.530001,1.66,-0.5710607003931223,-0.20811662038244805,5.821941977800682,-6.728071444731398,2.4924920099665737,0.13833333333333334,-0.7093940337264556,-0.34644995371578136,5.683608644467348,-6.866404778064732,2.3541586766332405
